# Extracted from http://www.earthbyte.org/Resources/ICONS/ch4.html#x1-960004.3.4
# latitude longitude sediment_thickness(meters)
-40.15000 289.15000 nan
-40.15000 289.20000 nan
-40.15000 289.25000 nan
-40.15000 289.30000 nan
-40.15000 289.35000 nan
-40.15000 289.40000 178.30634
-40.15000 289.45000 325.07873
-40.15000 289.50000 305.40919
-40.15000 289.55000 134.64022
-40.15000 289.60000 nan
-40.15000 289.65000 nan
-40.15000 289.70000 nan
-40.15000 289.75000 nan
-40.15000 289.80000 nan
-40.15000 289.85000 nan
-40.15000 289.90000 nan
-40.15000 289.95000 nan
-40.15000 290.00000 nan
-40.15000 290.05000 nan
-40.15000 290.10000 nan
-40.15000 290.15000 nan
-40.15000 290.20000 nan
-40.15000 290.25000 nan
-40.15000 290.30000 nan
-40.15000 290.35000 nan
-40.15000 290.40000 nan
-40.15000 290.45000 nan
-40.15000 290.50000 nan
-40.15000 290.55000 nan
-40.15000 290.60000 nan
-40.15000 290.65000 nan
-40.15000 290.70000 nan
-40.15000 290.75000 nan
-40.15000 290.80000 nan
-40.15000 290.85000 nan
-40.15000 290.90000 nan
-40.15000 290.95000 nan
-40.15000 291.00000 nan
-40.15000 291.05000 nan
-40.15000 291.10000 nan
-40.15000 291.15000 nan
-40.15000 291.20000 nan
-40.15000 291.25000 nan
-40.15000 291.30000 nan
-40.15000 291.35000 nan
-40.15000 291.40000 nan
-40.15000 291.45000 nan
-40.15000 291.50000 nan
-40.15000 291.55000 nan
-40.15000 291.60000 nan
-40.15000 291.65000 nan
-40.15000 291.70000 nan
-40.15000 291.75000 nan
-40.15000 291.80000 nan
-40.15000 291.85000 nan
-40.15000 291.90000 nan
-40.15000 291.95000 nan
-40.15000 292.00000 nan
-40.15000 292.05000 nan
-40.15000 292.10000 nan
-40.15000 292.15000 nan
-40.15000 292.20000 nan
-40.15000 292.25000 nan
-40.15000 292.30000 nan
-40.15000 292.35000 nan
-40.15000 292.40000 nan
-40.15000 292.45000 nan
-40.15000 292.50000 nan
-40.15000 292.55000 nan
-40.15000 292.60000 nan
-40.15000 292.65000 nan
-40.15000 292.70000 nan
-40.15000 292.75000 nan
-40.15000 292.80000 nan
-40.15000 292.85000 nan
-40.15000 292.90000 nan
-40.15000 292.95000 nan
-40.15000 293.00000 nan
-40.15000 293.05000 nan
-40.15000 293.10000 nan
-40.15000 293.15000 nan
-40.15000 293.20000 nan
-40.15000 293.25000 nan
-40.15000 293.30000 nan
-40.15000 293.35000 nan
-40.15000 293.40000 nan
-40.15000 293.45000 nan
-40.15000 293.50000 nan
-40.15000 293.55000 nan
-40.15000 293.60000 nan
-40.15000 293.65000 nan
-40.10000 289.15000 nan
-40.10000 289.20000 nan
-40.10000 289.25000 nan
-40.10000 289.30000 nan
-40.10000 289.35000 nan
-40.10000 289.40000 nan
-40.10000 289.45000 107.04017
-40.10000 289.50000 119.87162
-40.10000 289.55000 78.99570
-40.10000 289.60000 9.31883
-40.10000 289.65000 15.78689
-40.10000 289.70000 nan
-40.10000 289.75000 21.79718
-40.10000 289.80000 33.36835
-40.10000 289.85000 nan
-40.10000 289.90000 nan
-40.10000 289.95000 nan
-40.10000 290.00000 nan
-40.10000 290.05000 nan
-40.10000 290.10000 44.87634
-40.10000 290.15000 41.48459
-40.10000 290.20000 nan
-40.10000 290.25000 2.87652
-40.10000 290.30000 nan
-40.10000 290.35000 nan
-40.10000 290.40000 nan
-40.10000 290.45000 nan
-40.10000 290.50000 nan
-40.10000 290.55000 nan
-40.10000 290.60000 nan
-40.10000 290.65000 nan
-40.10000 290.70000 nan
-40.10000 290.75000 nan
-40.10000 290.80000 nan
-40.10000 290.85000 nan
-40.10000 290.90000 nan
-40.10000 290.95000 nan
-40.10000 291.00000 nan
-40.10000 291.05000 nan
-40.10000 291.10000 nan
-40.10000 291.15000 nan
-40.10000 291.20000 nan
-40.10000 291.25000 nan
-40.10000 291.30000 nan
-40.10000 291.35000 nan
-40.10000 291.40000 nan
-40.10000 291.45000 nan
-40.10000 291.50000 nan
-40.10000 291.55000 nan
-40.10000 291.60000 nan
-40.10000 291.65000 nan
-40.10000 291.70000 nan
-40.10000 291.75000 nan
-40.10000 291.80000 nan
-40.10000 291.85000 nan
-40.10000 291.90000 nan
-40.10000 291.95000 nan
-40.10000 292.00000 nan
-40.10000 292.05000 nan
-40.10000 292.10000 nan
-40.10000 292.15000 nan
-40.10000 292.20000 nan
-40.10000 292.25000 nan
-40.10000 292.30000 nan
-40.10000 292.35000 nan
-40.10000 292.40000 nan
-40.10000 292.45000 nan
-40.10000 292.50000 nan
-40.10000 292.55000 nan
-40.10000 292.60000 nan
-40.10000 292.65000 nan
-40.10000 292.70000 nan
-40.10000 292.75000 nan
-40.10000 292.80000 nan
-40.10000 292.85000 nan
-40.10000 292.90000 nan
